Designator,Mid X,Mid Y,Rotation,Layer
33_LED1,146.5325,-88.265,180.0,top
BOOT_SW1,146.49,-95.25,0.0,top
C1,100.01,-102.265,90.0,top
C13,88.9,-72.68,270.0,top
C14,88.9,-80.505,90.0,top
C15,89.535,-76.49,270.0,top
C16,105.55,-108.585,180.0,top
C17,123.825,-86.22,270.0,top
C2,97.155,-102.265,90.0,top
D7,123.825,-91.44,270.0,top
J1,128.3,-84.39,0.0,top
J2,146.685,-81.915,180.0,top
J3,101.09,-118.94,0.0,top
NEOPIXEL1,116.93,-105.03,0.0,top
NEOPIXEL2,128.595,-105.03,0.0,top
NEOPIXEL3,140.26,-105.03,0.0,top
PWR_C1,123.51,-81.28,180.0,top
Q2,106.3,-93.6075,180.0,top
Q3,98.06,-93.66,180.0,top
R2,89.345,-84.455,0.0,top
R4,101.6,-94.42,270.0,top
R5,109.855,-96.075,270.0,top
R6,107.76,-111.76,180.0,top
R7,98.87,-111.76,0.0,top
R8,103.95,-111.76,180.0,top
R9,138.875,-85.725,0.0,top
SW1,116.66,-113.61,0.0,top
SW2,128.325,-113.61,0.0,top
SW3,139.99,-113.61,0.0,top
U1,101.7,-79.4,0.0,top
U2,105.18,-104.23,0.0,top
U3,130.835,-83.82,0.0,top
